bigram,count
배우 연기,3883
유해진 배우,612
왕과 사는,536
박지훈 배우,519
사는 남자,477
유해진 연기,474
배우 연기도,437
연기 좋았습니다,412
재미있게 봤습니다,411
배우분들 연기,366
배우 연기에,353
박지훈 연기,334
박지훈 배우의,327
유해진 배우의,326
배우의 연기,308
유해진 박지훈,282
유해진의 연기,264
배우 연기력이,247
배우님들 연기,244
연기 잘해서,211
배우 연기와,209
여운 남는,207
모든 배우,200
장항준 감독님,198
결말을 알고,196
보기 좋은,196
웃다가 울다가,190
연기 좋아요,186
유해진님 연기,174
여운 많이,168
연기 좋아서,165
웃고 울고,165
박지훈 유해진,162
역사적 사실을,159
연기 최고,156
다시 한번,155
단종에 대해,152
유해진 배우님의,150
시간가는줄 모르고,147
배우들이 연기,147
시간 가는줄,142
배우분들의 연기,141
눈물 줄줄,135
배우 연기력,134
다들 연기,134
오랜만에 좋은,133
재미있게 보았습니다,132
역사에 대해,129
시간 가는,124
배우 연기로,123
몰입해서 봤습니다,121
역사를 다시,120
가족과 함께,118
연기 잘하셔서,115
오랜만에 극장에서,109
연기 잘해요,108
역시 유해진,107
가는줄 모르고,106
나도 모르게,104
눈빛 연기,102
유해진 유지태,102
연기도 좋고,101
눈물 주르륵,101
연기 잘하고,99
알고 봐도,98
어린 나이에,98
연기 차력쇼,97
박지훈의 연기,97
단종의 이야기를,96
재미와 감동,94
가는 모르고,92
좋은 영화를,90
마지막에 눈물,90
가족들과 함께,88
처음부터 끝까지,88
오랜만에 영화관에서,88
연기 미쳤어요,87
연기 잘하네요,85
박지훈 배우님의,84
어린 단종의,84
연기 좋네요,84
역사를 알고,83
장항준 감독,82
감동도 있고,82
연기 좋고,82
배우님들의 연기,81
눈물 펑펑,81
배우님의 연기,80
믿고보는 유해진,79
유해진님의 연기,79
연기 잘함,79
봐도 눈물,78
장항준 감독의,78
웃다 울다,77
단종 안아,77
영화다운 영화를,77
박지훈 유지태,77
역사가 스포라,77
가슴 아픈,76
함께 보기,76
믿고보는 배우,76
모르게 눈물,76
슬픈 역사,75
배우 연기력에,75
좋은 영화였습니다,75
오랜만에 영화다운,75
역사적 사실에,74
연기 모두,74
박수를 보냅니다,74
부모님 모시고,74
많이 남는,74
단종에 대한,74
좋은 영화입니다,73
연기 최고입니다,73
특히 유해진,73
연기 특히,72
몰입감 최고,71
슬퍼서 눈물,71
간만에 좋은,70
박지훈님 연기,70
아깝지 않은,70
여운 오래,70
이미 알고,69
여운 길게,69
배우 유해진,68
몰입감 있게,68
유해진 배우가,67
특히 박지훈,67
모두 연기,66
있어서 좋았습니다,66
배우 열연이,66
재미도 있고,65
눈물 났어요,65
재미있게 잘봤습니다,65
대해 다시,65
영화를 봤네요,64
박지훈 배우가,64
역시 믿고보는,64
눈물 나네요,63
눈물 콧물,63
연기 다들,63
단종의 눈빛이,63
