review_date,sentiment_label,review_length,review
2026-03-29,좋았어요,24,오래간만에 감동적인 영화를 극장에서 봤네요.
2026-03-14,좋았어요,82,"역사를 그린 영화가 너무 깊으면 진부할수 있는데, 가볍게 찰나처럼 에피소드로 그때를 그린 시각이 나머지는 관객이 느끼고 해석하는것 같아 좋았습니다."
2026-03-12,좋았어요,14,많이 많이 많이 많이 많이
2026-03-14,좋았어요,30,"왜 보면서 그냥 눈물이 나는지 직접 경험해 봐야함
감동"
2026-03-22,좋았어요,13,감동의 도가니탕이었습니다
2026-03-11,좋았어요,15,아주 재미있게 잘 봤습니다.
2026-03-20,좋았어요,107,"박지훈의 눈빛때문에 영화시작부터 눈물이 났습니다.
실화바탕의 내용이라 더 와닿았고 배우들의 연기가 몰입도를 최대로 끌어올려 최고의 영화를 만들어낸것 같습니다. 
오랜만에 영화 너무 잘 봤습니다"
2026-03-22,좋았어요,83,"누군가가 500년 만에 단종의 장례를 치른것 같다고했다. 영화만큼 감동스러운 감상평이었다.
애민정신으로 백성을 궁휼히 여긴 단종왕이시여 편히 잠드소서"
2026-03-14,좋았어요,22,배우들 연기도 좋았고 너무 재밌게 봤어요
2026-03-19,좋았어요,54,역사물은 거의 무거운 느낌이지만 이영화는 재미 코믹스러운 면도 있고 마지막 부분에서는 감동적이었다
